IRS-Number,Spray Date,SOP Code,County,Sub-county,Ward,Sub-location,Village,Sprayed,Re-visit,Reason for No Spray,Not sprayed: Female Children < 5 years,Not sprayed: Male Children < 5 years,Sprayed: Female Children < 5 years,Sprayed: Male Children < 5 years,Institution Name,Female Children <5 years sleeping under nets,Male Children <5 years sleeping under nets,Nets owned,Not sprayed: Female,Not sprayed: Male,Not sprayed: Pregnant women,Number Mixed,Pregnant women sleeping under nets,Rooms found,Rooms sprayed,Number Sleeping under nets,Sprayed: Female,Sprayed: Male,Sprayed: Pregnant women,Nets in use (Details),Children <5 years sleeping under nets
113989,3/17/2023,1071005,Migory County,Uriri Sub-County,Central Kanyamkago Ward,Kawere 2b Sub-location,Oyuma Village,0,,6. Other,1,1,,,,,,2,3,2,0,0,0,3,,4,,,,2,0
104447,03/06/2023,1060727,Migory County,Suna West Sub-County,Wiga Ward,Wiga Sub-location,Otang Yao Village,1,,,,,2,1,,,,3,,,,0,0,1,1,3,2,2,0,3,3
257745,4/18/2023,2051200,Homa Bay County,Rachuonyo North Sub-County,Kendu Town Ward,upper kakwajuok Sub-location,Ramba Village (Upper Kakwajuok Sub-location),1,,,0,0,0,0,,,,2,,,,1,0,5,4,5,3,2,0,2,0
111292,03/06/2023,1070984,Migory County,Uriri Sub-County,Central Kanyamkago Ward,West Kawere Rateng' Sub-location,Lwanda Konyuna Village,1,,,,,0,0,,,,1,,,,0,1,3,3,2,1,1,1,1,0
26894,03/06/2023,1030582,Migory County,Nyatike Sub-County,Got Kachola Ward,Aneko Sub-location,Miriwi/Mikei Village,1,,,,,0,1,,,,1,,,,0,0,2,2,3,0,3,0,1,1
241456,04/12/2023,2020506,Homa Bay County,Rachuonyo North Sub-County,Kibiri Ward,Kamuga Kibiri Sub-location,Gari Village,1,,,0,0,0,0,,,,0,,,,0,,3,2,,1,2,0,0,
214637,04/12/2023,2040988,Homa Bay County,Rachuonyo East Sub-County,Kokwanyo Kakelo Ward,Kokwanyo East Sub-location,Bunde Village,1,,,0,0,0,0,,,,2,,,,0,0,3,3,3,3,6,0,2,1
113761,3/17/2023,1070983,Migory County,Uriri Sub-County,Central Kanyamkago Ward,West Kawere Rateng' Sub-location,Nyamanja Village (West Kawere Rateng' Sub-location),1,,,,,1,0,,,,1,,,,0,0,3,3,3,2,1,0,1,1
117172,03/06/2023,1070974,Migory County,Uriri Sub-County,East Kanyamkago Ward,Thimjope Sub-location,Akoko A Village (Thimjope Sub-location),1,,,,,0,0,,,,2,,,,0,0,4,1,4,3,1,0,2,0
265346,04/12/2023,2051261,Homa Bay County,Rachuonyo North Sub-County,Karachuonyo North Ward,Koyumbre Sub-location,Koluoch Village,1,,,0,0,0,0,,,,3,,,,0,0,3,3,5,4,1,0,3,0
146966,03/06/2023,1070900,Migory County,Uriri Sub-County,West Kanyamkago Ward,Kajulu 2 Upper Sub-location,Dunga I Village,1,,,,,0,1,,,,0,,,,0,,5,2,,4,3,0,0,
243554,04/12/2023,2051224,Homa Bay County,Rachuonyo North Sub-County,Kibiri Ward,Kawadggone Sub-location,Adhiambo Village,1,,,0,0,0,1,,,,1,,,,0,0,3,3,2,2,3,0,1,1
320071,04/12/2023,2071462,Homa Bay County,Rangwe Sub-County,Kochia Ward,Korayo Sub-location,Upper Kagola Village,1,,,0,0,0,0,,,,1,,,,1,0,3,3,1,1,1,0,1,0
172645,04/12/2023,2101578,Homa Bay County,Suba Central Sub-County,Mfangano Ward,Soklo North Sub-location,Siaga Village,1,,,0,0,1,0,,,,2,,,,0,1,2,2,2,2,3,1,2,1
377911,04/12/2023,2030858,Homa Bay County,Ndhiwa Sub-County,Kanyadoto Ward,South Kabura Sub-location,Koga Village (North Kabura Sub-location),1,,,0,0,0,1,,,,1,,,,1,0,4,3,2,1,3,0,1,1
275225,4/18/2023,2051152,Homa Bay County,Rachuonyo North Sub-County,Karachuonyo West Ward,Kowuor Sub-location,Kokelo B Village,1,,,0,0,0,0,,,,2,,,,0,0,2,2,2,2,0,0,2,0
320757,4/18/2023,2071460,Homa Bay County,Rangwe Sub-County,Kochia Ward,Korayo Sub-location,Upper Kawuor Village (Korayo Sub-location),1,,,0,0,0,1,,,,1,,,,0,0,2,2,2,1,2,0,1,0
249619,4/18/2023,2051107,Homa Bay County,Rachuonyo North Sub-County,Kanyaluo Ward,Kamenya North Sub-location,Oyombe A Village (Kamenya North Sub-location),1,,,0,0,0,1,,,,2,,,,0,1,1,1,4,2,2,1,2,1
26873,03/06/2023,1030580,Migory County,Nyatike Sub-County,Got Kachola Ward,Aneko Sub-location,Miriwi/Mikei Village,1,,,,,0,0,,,,1,,,,1,0,5,4,2,2,0,0,1,1
78553,3/17/2023,1050647,Migory County,Suna East Sub-County,Kwa Ward,Kwa Sub-location,Rabuor Taya Village (Kwa Sub-location),1,,,,,0,1,,,,2,,,,1,1,3,3,6,3,3,1,2,1
43628,03/06/2023,1030520,Migory County,Nyatike Sub-County,Macalder Kanyarwanda Ward,Owich (Macalder Ward) Sub-location,Kodele Village,1,,,,,0,0,,,,0,,,,0,,3,3,,1,2,0,0,
181212,04/12/2023,2030843,Homa Bay County,Ndhiwa Sub-County,Kosewe Ward,Upper Kayambo Sub-location,Ambuara Village,1,,,0,0,0,0,,,,0,,,,0,,2,2,,0,2,0,0,
20938,03/06/2023,1020398,Migory County,Awendo Sub-County,West Sakwa Ward,Kamresi Sub-location,Kodeny Village A (Kamresi Sub-location),1,,,,,2,1,,,,1,,,,0,0,2,2,3,3,2,0,1,1
314405,04/12/2023,2071440,Homa Bay County,Rangwe Sub-County,Kagan Ward,Kanyiriema Sub-location,Lower Kadibuoro Village,1,,,0,0,0,0,,,,1,,,,1,0,3,3,2,1,1,0,1,0
52935,03/06/2023,1030451,Migory County,Nyatike Sub-County,North Kadem Ward,Kakelo Kakoth Sub-location,Nyora A Village,1,,,,,0,1,,,,2,,,,0,0,4,2,2,2,1,0,2,1
257652,4/18/2023,2051174,Homa Bay County,Rachuonyo North Sub-County,Central Karachuonyo Ward,Kamser A Sub-location,Nyagoa C Village,1,,,0,0,0,0,,,,1,,,,0,0,1,1,1,0,1,0,1,0
310874,04/12/2023,2071503,Homa Bay County,Rangwe Sub-County,East Gem Ward,Koyolo Sub-location,Nyandoto Village (Koyolo Sub-location),1,,,0,0,0,0,,,,1,,,,0,1,1,1,2,1,1,1,1,0
265367,04/12/2023,2051259,Homa Bay County,Rachuonyo North Sub-County,Karachuonyo North Ward,Koyumbre Sub-location,Nyamondo Lower Village,1,,,0,0,0,1,,,,1,,,,0,1,3,3,2,2,2,0,1,1
195918,04/12/2023,2030892,Homa Bay County,Ndhiwa Sub-County,North Kabuoch Ward,West Kachieng Sub-location,Achego Village (West Kachieng Sub-location),1,,,0,0,3,0,,,,1,,,,0,0,3,2,3,4,0,0,1,2
311182,4/18/2023,2071504,Homa Bay County,Rangwe Sub-County,East Gem Ward,Koyolo Sub-location,Katunglu Village,1,,,0,0,1,0,,,,2,,,,0,0,4,4,6,4,4,0,2,1
5337,03/06/2023,1020312,Migory County,Awendo Sub-County,Central Sakwa Ward,Kasidula Sub-location,Kawuor Nyasanja Village,1,,,,,0,0,,,,1,,,,1,0,2,2,1,0,1,0,1,0
130330,03/06/2023,1070848,Migory County,Uriri Sub-County,South Kanyamkago Ward,Kamsaki Sub-location,Korondo A Village,0,,1. Sick,1,1,,,,,,0,2,3,0,0,,3,,,,,,0,
257763,4/18/2023,2051195,Homa Bay County,Rachuonyo North Sub-County,Kendu Town Ward,upper kakwajuok Sub-location,Ramba Village (Upper Kakwajuok Sub-location),1,,,0,0,0,1,,,,1,,,,0,0,3,2,3,3,3,0,1,1
225459,04/12/2023,2041077,Homa Bay County,Rachuonyo East Sub-County,Kabondo West Ward,Kasewe A Sub-location,Kitare B Village,1,,,0,0,0,0,,,,1,,,,0,1,3,3,2,1,1,1,1,0
248556,04/12/2023,1020300,Homa Bay County,Rachuonyo North Sub-County,Kanyaluo Ward,Kowuor west Sub-location,Bwanda Village,1,,,0,0,0,2,,,,0,,,,1,,6,6,,3,2,0,0,
241449,04/12/2023,2051206,Homa Bay County,Rachuonyo North Sub-County,Kibiri Ward,Kojwang Sub-location,Bala Village (Kojwang Sub-location),1,,,0,0,0,1,,,,2,,,,1,0,3,3,4,2,2,0,2,1
289554,04/12/2023,2061403,Homa Bay County,Rachuonyo South Sub-County,East Kamagak Ward,Kachieng A Sub-location,Katula A Village,1,,,0,0,0,0,,,,0,,,,1,,3,2,,0,1,0,0,
6314,03/06/2023,1020332,Migory County,Awendo Sub-County,North Sakwa Ward,East Kakmasia Sub-location,Kibabu Village,1,,,,,0,1,,,,2,,,,0,0,2,2,3,1,2,0,2,1
26869,03/06/2023,1030580,Migory County,Nyatike Sub-County,Got Kachola Ward,Aneko Sub-location,Miriwi/Mikei Village,1,,,,,0,0,,,,1,,,,1,0,3,3,2,1,1,0,1,0
18059,3/17/2023,1020373,Migory County,Awendo Sub-County,South Sakwa Ward,Alego Central Sub-location,Ulanda B Village,1,,,,,0,0,,,,2,,,,0,0,3,3,5,2,3,0,2,0
43604,03/06/2023,1030517,Migory County,Nyatike Sub-County,Macalder Kanyarwanda Ward,Owich (Macalder Ward) Sub-location,Kodele Village,1,,,,,1,0,,,,1,,,,0,0,3,3,2,1,1,0,1,0
78633,3/17/2023,1050635,Migory County,Suna East Sub-County,Kwa Ward,Onguo Sub-location,Mitangwe Village,0,,4. Refused,1,0,,,,,,2,2,2,0,0,0,3,,4,,,,2,1
121636,03/06/2023,1070933,Migory County,Uriri Sub-County,North Kanyamkago Ward,Komenya Sub-location,Marungu Village,1,,,,,0,0,,,,1,,,,0,0,2,2,1,1,0,0,1,0
160819,04/12/2023,2020656,Homa Bay County,Homabay Township Sub-County,Homabay East Ward,Komolo Sub-location,Dissi Village,1,,,0,0,2,1,,,,2,,,,0,0,6,2,4,2,1,0,2,3
326566,4/18/2023,2071473,Homa Bay County,Rangwe Sub-County,West Gem Ward,Kamagawi Sub-location,Kongwenya Village,1,,,0,0,0,0,,,,1,,,,0,0,3,3,3,2,1,0,1,0
233340,04/12/2023,2041029,Homa Bay County,Rachuonyo East Sub-County,Kabondo East Ward,Miriu Sub-location,Kariany Kamondi A Village,1,,,0,0,2,0,,,,2,,,,0,1,3,3,4,3,1,1,2,2
6487,03/06/2023,1020342,Migory County,Awendo Sub-County,North Sakwa Ward,Kanyasrega Sub-location,Soi Village,1,,,,,0,1,,,,1,,,,0,0,2,2,4,3,1,0,1,1
257644,4/18/2023,2051175,Homa Bay County,Rachuonyo North Sub-County,Central Karachuonyo Ward,Kamser A Sub-location,Nyagoa D Village,1,,,0,0,0,0,,,,2,,,,1,0,2,2,4,2,2,0,2,0
274410,04/12/2023,2051159,Homa Bay County,Rachuonyo North Sub-County,Karachuonyo West Ward,Rabuor Sub-location,Upper Kamwania Village,1,,,0,0,0,1,,,,1,,,,1,0,3,3,3,1,2,0,1,1
261365,4/18/2023,2051242,Homa Bay County,Rachuonyo North Sub-County,Karachuonyo North Ward,Wagwe South Sub-location,Kagai A Village,1,,,0,0,0,0,,,,1,,,,0,0,2,2,2,1,1,0,1,0
10872,3/17/2023,1020352,Migory County,Awendo Sub-County,North Sakwa Ward,Kwoyo Kodalo  Sub-location,Kauma Village (Kwoyo Kodalo Sub-location),1,,,,,0,0,,,,0,,,,0,,2,2,,2,2,0,0,
306108,04/12/2023,2061346,Homa Bay County,Rachuonyo South Sub-County,West Kasipul Ward,Kamiyawa B Sub-location,Kalanding A Village,1,,,0,0,0,0,,,,2,,,,1,0,2,2,4,1,3,0,2,0
126698,3/17/2023,1070935,Migory County,Uriri Sub-County,North Kanyamkago Ward,Komenya Sub-location,Ongora Village (Komenya Sub-location),1,,,,,0,1,,,,3,,,,0,0,1,1,7,3,4,0,3,1
117194,03/06/2023,1070979,Migory County,Uriri Sub-County,East Kanyamkago Ward,Thimjope Sub-location,Pith Nyadundo B Village,1,,,,,0,0,,,,1,,,,0,0,2,2,1,0,1,0,1,0
257697,4/18/2023,2051197,Homa Bay County,Rachuonyo North Sub-County,Kendu Town Ward,upper kakwajuok Sub-location,Rapul Village,1,,,0,0,0,0,,,,1,,,,1,0,2,2,2,0,2,0,1,0
121874,03/06/2023,1070953,Migory County,Uriri Sub-County,North Kanyamkago Ward,Katieno 2 Sub-location,Nyaongo B Village,1,,,,,1,0,,,,1,,,,1,0,2,2,3,2,1,0,1,1
66150,03/06/2023,1050659,Migory County,Suna East Sub-County,Kakrao Ward,Lower Kakrao Sub-location,Tingna B Village,1,,,,,0,0,,,,0,,,,0,,3,3,,0,1,0,0,
113638,3/17/2023,1071007,Migory County,Uriri Sub-County,Central Kanyamkago Ward,Kawere 2b Sub-location,Oyuma Village,1,,,,,0,0,,,,0,,,,1,,1,1,,0,1,0,0,
65960,03/06/2023,1050674,Migory County,Suna East Sub-County,Kakrao Ward,Nyamanga Sub-location,Sangla A Village (Nyamanga Sub-location),1,,,,,0,0,,,,2,,,,0,0,2,2,3,2,1,0,2,0
248655,04/12/2023,2051101,Homa Bay County,Rachuonyo North Sub-County,Kanyaluo Ward,Kowuor East Sub-location,Dago Village (Kowuor East Sub-location),1,,,0,0,0,0,,,,1,,,,0,0,2,2,2,1,1,0,1,0
81361,03/06/2023,1050599,Migory County,Suna East Sub-County,Suna Central Ward,Ngege Sub-location,Lichota A Village,1,,,,,0,0,,,,1,,,,0,0,1,1,2,0,2,0,1,0
117111,03/06/2023,1070972,Migory County,Uriri Sub-County,East Kanyamkago Ward,Thimjope Sub-location,Akoko A Village (Thimjope Sub-location),1,,,,,0,0,,,,3,,,,1,0,3,3,3,1,5,0,3,0
225460,04/12/2023,2041077,Homa Bay County,Rachuonyo East Sub-County,Kabondo West Ward,Kasewe A Sub-location,Kitare B Village,1,,,0,0,0,0,,,,0,,,,0,,2,2,,0,2,0,0,
65833,03/06/2023,1050684,Migory County,Suna East Sub-County,Kakrao Ward,Nyarongi Sub-location,Filgona C Village,1,,,,,1,0,,,,3,,,,0,0,4,4,5,3,2,0,3,1
23965,3/17/2023,1020409,Migory County,Awendo Sub-County,West Sakwa Ward,Wanga Sub-location,Kombasa Kawuor Village,1,,,,,0,0,,,,0,,,,0,,3,3,,0,2,0,0,
116,3/17/2023,1020313,Migory County,Awendo Sub-County,Central Sakwa Ward,Kombok North  Sub-location,Awendo Marindi Village,1,,,,,1,0,,,,2,,,,0,0,3,3,4,1,3,0,2,1
248643,04/12/2023,2051097,Homa Bay County,Rachuonyo North Sub-County,Kanyaluo Ward,Kowuor East Sub-location,Dago Village (Kowuor East Sub-location),1,,,0,0,0,0,,,,1,,,,0,0,1,1,1,2,0,0,1,0
369989,04/12/2023,2030932,Homa Bay County,Ndhiwa Sub-County,South Kabuoch Ward,Kaguria Sub-location,Nyarwenya A Village,1,,,0,0,1,0,,,,1,,,,0,0,3,2,3,3,0,0,1,1
324365,4/18/2023,2071444,Homa Bay County,Rangwe Sub-County,Kochia Ward,Kamenya (Kochia Ward) Sub-location,Kobonyo A Village (Kamenya Sub-location),1,,,0,0,0,1,,,,3,,,,0,0,5,3,5,3,2,0,3,1
216664,04/12/2023,2041001,Homa Bay County,Rachuonyo East Sub-County,Kokwanyo Kakelo Ward,Kakelo Dudi B Sub-location,Matabore B Village,1,,,0,0,0,1,,,,4,,,,1,0,3,3,4,3,4,0,4,1
147467,04/12/2023,2020634,Homa Bay County,Homabay Township Sub-County,West Ward,North Kanyabala Sub-location,Magare Samunyi Village,1,,,0,0,0,0,,,,2,,,,0,0,2,2,0,2,3,0,2,0
241454,04/12/2023,2051206,Homa Bay County,Rachuonyo North Sub-County,Kibiri Ward,Kamuga Kibiri Sub-location,Gari Village,1,,,0,0,1,0,,,,1,,,,1,1,3,3,6,4,2,1,1,1
181033,04/12/2023,2030825,Homa Bay County,Ndhiwa Sub-County,Kosewe Ward,Kwamo Sub-location,Rachar Village,1,,,0,0,0,0,,,,1,,,,0,0,3,3,3,1,3,0,1,0
273961,4/18/2023,2051140,Homa Bay County,Rachuonyo North Sub-County,Karachuonyo West Ward,Kayoo West Sub-location (Karachuonyo West Ward),Koguma Village,1,,,0,0,1,1,,,,3,,,,1,0,4,4,7,4,3,0,3,2
10744,3/17/2023,1020341,Migory County,Awendo Sub-County,North Sakwa Ward,Kanyasrega Sub-location,Kagola Village (Kanyasrega Sub-location),1,,,,,1,1,,,,3,,,,0,0,3,2,6,3,3,0,3,2
26931,03/06/2023,1030585,Migory County,Nyatike Sub-County,Got Kachola Ward,Aneko Sub-location,Nyasaria Village,1,,,,,1,0,,,,2,,,,0,1,2,2,5,3,2,1,2,1
325836,04/12/2023,2071473,Homa Bay County,Rangwe Sub-County,West Gem Ward,Kanyanjwa A Sub-location,kachuo Village,1,,,0,0,1,1,,,,0,,,,0,,3,2,,5,5,0,0,
5137,03/06/2023,1020320,Migory County,Awendo Sub-County,Central Sakwa Ward,Kanyagwala Sub-location,Kanyedhe Village,1,,,,,0,0,,,,2,,,,1,0,2,2,3,2,1,0,2,0
147380,03/06/2023,1070911,Migory County,Uriri Sub-County,West Kanyamkago Ward,Kajulu 2 Lower Sub-location,Kiwiro Village (Kajulu 2 Lower Sub-location),1,,,,,0,1,,,,1,,,,0,0,2,2,2,2,1,0,1,1
298183,04/12/2023,2061330,Homa Bay County,Rachuonyo South Sub-County,South Kasipul Ward,Kasimba Sub-location,Kodik Village,1,,,0,0,0,0,,,,0,,,,0,,4,4,,3,1,0,0,
97049,3/17/2023,1060790,Migory County,Suna West Sub-County,Wasimbete Ward,Giribe Sub-location,Lwala A Village (Giribe Sub-location),1,,,,,0,0,,,,1,,,,1,0,1,1,2,0,3,0,1,0
75196,03/06/2023,1050641,Migory County,Suna East Sub-County,Kwa Ward,Lwanda Asande Sub-location,Thidhna Rural Village,1,,,,,0,0,,,,2,,,,1,0,3,3,3,2,1,0,2,0
313887,04/12/2023,2071509,Homa Bay County,Rangwe Sub-County,East Gem Ward,Kotieno Sub-location,Atili Village,1,,,0,0,0,0,,,,2,,,,1,1,6,4,6,2,5,1,2,0
254744,4/18/2023,2051185,Homa Bay County,Rachuonyo North Sub-County,Central Karachuonyo Ward,Kamser A Sub-location,Osika A Village,1,,,0,0,0,0,,,,1,,,,0,0,2,2,1,0,1,0,1,0
74921,03/06/2023,1050629,Migory County,Suna East Sub-County,Kwa Ward,Remo Sub-location,Remo E Village,1,,,,,1,0,,,,0,,,,1,,5,4,,3,2,0,0,
126726,3/17/2023,1070929,Migory County,Uriri Sub-County,North Kanyamkago Ward,Komenya Sub-location,Ongora Village (Komenya Sub-location),1,,,,,1,1,,,,1,,,,0,0,1,1,4,2,2,0,1,2
21005,03/06/2023,1020404,Migory County,Awendo Sub-County,West Sakwa Ward,North Kanyamgony Sub-location,Kijawa Village,1,,,,,0,0,,,,2,,,,1,0,4,4,4,2,3,0,2,0
23976,3/17/2023,1020414,Migory County,Awendo Sub-County,West Sakwa Ward,Wanga Sub-location,Kombasa Kawuor Village,0,,3. Funeral,2,0,,,,,,1,4,1,0,0,0,3,,3,,,,1,2
108247,3/17/2023,1060722,Migory County,Suna West Sub-County,Wiga Ward,God Kwer Sub-location,Sibuoche A Village (God Kwer Sub-location),1,,,,,0,0,,,,0,,,,0,,1,1,,1,1,0,0,
113852,3/17/2023,1070991,Migory County,Uriri Sub-County,Central Kanyamkago Ward,Central Kawere Rateng' Sub-location,Nyakruru Village (Central Kawere Rateng' Sub-location),1,,,,,0,1,,,,1,,,,0,0,2,2,4,1,3,0,1,1
306021,04/12/2023,2061340,Homa Bay County,Rachuonyo South Sub-County,West Kasipul Ward,Kamiyawa B Sub-location,Kalanding A Village,1,,,0,0,1,0,,,,1,,,,0,0,3,3,3,1,2,0,1,1
269393,4/18/2023,2051129,Homa Bay County,Rachuonyo North Sub-County,Wangchieng Ward,Kobuya west Sub-location,Kabonyo/Kachieng Village,1,,,0,0,0,0,,,,1,,,,1,0,3,3,1,0,1,0,1,0
248707,04/12/2023,2051100,Homa Bay County,Rachuonyo North Sub-County,Kanyaluo Ward,Kowuor East Sub-location,Dago Village (Kowuor East Sub-location),1,,,0,0,0,1,,,,1,,,,0,0,3,3,2,1,1,0,1,1
134361,3/17/2023,1070859,Migory County,Uriri Sub-County,South Kanyamkago Ward,Got Uriri Sub-location,Ombo Got Village,1,,,,,0,0,,,,3,,,,0,0,4,4,6,4,2,0,3,0
121749,03/06/2023,1070943,Migory County,Uriri Sub-County,North Kanyamkago Ward,Kamgundho I Sub-location,Kanyogot A Village,1,,,,,1,0,,,,2,,,,1,0,2,2,4,2,2,0,2,1
315395,4/18/2023,2071435,Homa Bay County,Rangwe Sub-County,Kagan Ward,Kanyarwanda Sub-location,Kasembe Village,1,,,0,0,0,1,,,,1,,,,0,0,1,1,3,1,2,0,1,1
134382,3/17/2023,1070861,Migory County,Uriri Sub-County,South Kanyamkago Ward,Got Uriri Sub-location,Ombo Got Village,1,,,,,0,0,,,,1,,,,0,0,1,1,1,1,1,0,1,0
308701,4/18/2023,2071526,Homa Bay County,Rangwe Sub-County,East Gem Ward,Koyolo Sub-location,Town C Village,1,,,0,0,1,0,,,,1,,,,0,1,2,2,4,3,1,1,1,1
101589,3/17/2023,1060761,Migory County,Suna West Sub-County,Wasweta 2 Ward,Nyamilu sub location,Ramoya B Village (Nyamilu sub location),1,,,,,3,1,,,,4,,,,0,0,4,4,6,4,2,0,4,4
147076,03/06/2023,1070887,Migory County,Uriri Sub-County,West Kanyamkago Ward,Upper Kajulu 1 Sub-location,Nyabinga II Village(Upper Kajulu 1 Sub-location),1,,,,,0,2,,,,0,,,,1,,3,3,,2,6,0,0,
41368,03/06/2023,1030468,Migory County,Nyatike Sub-County,Kanyasa Ward,Otati Sub-location,Nyodieny A Village,1,,,,,0,0,,,,1,,,,0,0,2,2,1,0,1,0,1,0
33708,03/06/2023,1030503,Migory County,Nyatike Sub-County,Kachieng Ward,Wachara Sub-location,Mirondo A Village,1,,,,,1,0,,,,1,,,,0,0,3,3,3,2,1,0,1,1
275241,4/18/2023,2051155,Homa Bay County,Rachuonyo North Sub-County,Karachuonyo West Ward,Kowuor Sub-location,Kokelo B Village,1,,,0,0,0,1,,,,0,,,,0,,2,1,,1,2,0,0,
249747,4/18/2023,2051092,Homa Bay County,Rachuonyo North Sub-County,Kanyaluo Ward,Kamenya North Sub-location,Oyombe A Village (Kamenya North Sub-location),1,,,0,0,1,0,,,,0,,,,0,,3,3,,2,1,0,0,
154662,04/12/2023,2020704,Homa Bay County,Homabay Township Sub-County,Homabay Central Ward,Kalanya Kanyango Sub-location,Ojunge A Village,1,,,0,0,0,0,,,,1,,,,1,0,3,3,1,0,1,0,1,0
66135,03/06/2023,1050664,Migory County,Suna East Sub-County,Kakrao Ward,Lower Kakrao Sub-location,Tingna B Village,1,,,,,0,0,,,,3,,,,1,0,5,5,6,5,1,0,3,0
327179,4/18/2023,2071487,Homa Bay County,Rangwe Sub-County,West Gem Ward,Kanyanjwa A Sub-location,Kasewe Village (Kanyanjwa Sub-location),1,,,0,0,0,1,,,,1,,,,0,0,4,4,4,4,4,0,1,2
254612,4/18/2023,2051167,Homa Bay County,Rachuonyo North Sub-County,Central Karachuonyo Ward,Kamser A Sub-location,Alego A Village,1,,,0,0,1,1,,,,0,,,,0,,3,3,,4,1,1,0,
298087,04/12/2023,2061321,Homa Bay County,Rachuonyo South Sub-County,South Kasipul Ward,Kotieno Kochich Sub-location,Kanyabunde Village,1,,,0,0,0,0,,,,1,,,,1,0,2,2,1,1,0,0,1,0
104649,03/06/2023,1060744,Migory County,Suna West Sub-County,Wiga Ward,Wiga Sub-location,Lwanda Otang Village,1,,,,,0,0,,,,2,,,,1,0,7,6,5,3,2,0,2,0
10792,3/17/2023,1020346,Migory County,Awendo Sub-County,North Sakwa Ward,East Kakmasia Sub-location,Kimaye Village (East Kakmasia),1,,,,,0,0,,,,2,,,,0,1,1,1,3,2,1,1,2,0
222259,04/12/2023,2041059,Homa Bay County,Rachuonyo East Sub-County,Kabondo West Ward,Kilusi Sub-location,Wikokumu Village,1,,,0,0,0,0,,,,2,,,,1,0,4,4,0,2,3,0,2,0
20933,03/06/2023,1020398,Migory County,Awendo Sub-County,West Sakwa Ward,Kamresi Sub-location,Kodeny Village A (Kamresi Sub-location),1,,,,,0,1,,,,0,,,,1,,2,2,,3,3,0,0,
134224,3/17/2023,1070841,Migory County,Uriri Sub-County,South Kanyamkago Ward,Bware Sub-location,Sigiria C Village,1,,,,,0,0,,,,2,,,,0,0,3,3,5,3,2,0,2,0
172671,04/12/2023,2101579,Homa Bay County,Suba Central Sub-County,Mfangano Ward,Soklo North Sub-location,Siaga Village,1,,,0,0,0,0,,,,2,,,,0,0,4,4,5,3,2,0,2,0
216847,04/12/2023,2041013,Homa Bay County,Rachuonyo East Sub-County,Kokwanyo Kakelo Ward,Kakelo Kamroth  Sub-location,Kowuor Oklola Village,1,,,0,0,1,0,,,,1,,,,1,0,2,2,4,4,2,0,1,1
261380,4/18/2023,2051244,Homa Bay County,Rachuonyo North Sub-County,Karachuonyo North Ward,Wagwe South Sub-location,Kagai A Village,1,,,0,0,0,1,,,,2,,,,0,0,3,2,4,3,2,0,2,1
267814,4/18/2023,2051114,Homa Bay County,Rachuonyo North Sub-County,Wangchieng Ward,Kobuya east Sub-location,Kalal Upper Village,1,,,0,0,1,1,,,,3,,,,0,0,4,1,5,3,2,0,3,2
195943,04/12/2023,2030896,Homa Bay County,Ndhiwa Sub-County,North Kabuoch Ward,Kachwanya Sub-location,Ongeng A Village,1,,,0,0,0,0,,,,2,,,,1,0,3,2,3,2,1,0,2,0
369814,04/12/2023,2030919,Homa Bay County,Ndhiwa Sub-County,South Kabuoch Ward,Kobita  Sub-location,Miyoro Village,1,,,0,0,0,0,,,,1,,,,0,0,2,2,2,2,0,0,1,0
227053,04/12/2023,2040960,Homa Bay County,Rachuonyo East Sub-County,Kabondo West Ward,Koloo Sub-location,Asego Village (Koloo Sub-location),1,,,0,0,0,0,,,,0,,,,0,,3,3,,2,2,0,0,
319940,04/12/2023,2071459,Homa Bay County,Rangwe Sub-County,Kochia Ward,Kamenya (Kochia Ward) Sub-location,Nyangweso Village (Kamenya Sub-location),0,,1. Sick,1,0,,,,,,3,2,1,0,0,0,4,,2,,,,3,0
306120,04/12/2023,2061344,Homa Bay County,Rachuonyo South Sub-County,West Kasipul Ward,Kamiyawa B Sub-location,Kalanding A Village,1,,,0,0,1,1,,,,1,,,,0,0,2,2,2,2,4,0,1,1
117095,03/06/2023,1070967,Migory County,Uriri Sub-County,East Kanyamkago Ward,Arambe Sub-location,Manyatta Village,1,,,,,0,1,,,,2,,,,0,0,3,3,5,3,2,0,2,1
274364,04/12/2023,2051155,Homa Bay County,Rachuonyo North Sub-County,Karachuonyo West Ward,Kowuor Sub-location,Kogol A Village,1,,,0,0,0,0,,,,0,,,,0,,2,2,,1,1,0,0,
20999,03/06/2023,1020404,Migory County,Awendo Sub-County,West Sakwa Ward,North Kanyamgony Sub-location,Kijawa Village,1,,,,,0,0,,,,0,,,,1,,1,1,,2,1,0,0,
314215,4/18/2023,2071508,Homa Bay County,Rangwe Sub-County,East Gem Ward,Kotieno Sub-location,Kakech Village,1,,,0,0,1,1,,,,3,,,,1,0,3,3,5,2,3,0,3,2
20962,03/06/2023,1020408,Migory County,Awendo Sub-County,West Sakwa Ward,North Kanyamgony Sub-location,Nyarombo Gold Mine Village,1,,,,,0,1,,,,0,,,,1,,4,4,,0,4,0,0,
6508,03/06/2023,1020341,Migory County,Awendo Sub-County,North Sakwa Ward,Kanyasrega Sub-location,Soi Village,1,,,,,0,0,,,,1,,,,1,0,2,2,1,0,1,0,1,0
